chr_part	length	gRNA_count	directory	filename
1.part0	NA	200000	gRNA.tab.gz.split	1.part0.tab.gz
1.part1	NA	200000	gRNA.tab.gz.split	1.part1.tab.gz
1.part2	NA	200000	gRNA.tab.gz.split	1.part2.tab.gz
1.part3	NA	200000	gRNA.tab.gz.split	1.part3.tab.gz
1.part4	NA	200000	gRNA.tab.gz.split	1.part4.tab.gz
1.part5	NA	200000	gRNA.tab.gz.split	1.part5.tab.gz
1.part6	NA	200000	gRNA.tab.gz.split	1.part6.tab.gz
1.part7	NA	200000	gRNA.tab.gz.split	1.part7.tab.gz
1.part8	NA	200000	gRNA.tab.gz.split	1.part8.tab.gz
1.part9	NA	200000	gRNA.tab.gz.split	1.part9.tab.gz
1.part10	NA	200000	gRNA.tab.gz.split	1.part10.tab.gz
1.part11	NA	200000	gRNA.tab.gz.split	1.part11.tab.gz
1.part12	NA	200000	gRNA.tab.gz.split	1.part12.tab.gz
1.part13	NA	200000	gRNA.tab.gz.split	1.part13.tab.gz
1.part14	NA	200000	gRNA.tab.gz.split	1.part14.tab.gz
1.part15	NA	200000	gRNA.tab.gz.split	1.part15.tab.gz
1.part16	NA	200000	gRNA.tab.gz.split	1.part16.tab.gz
1.part17	NA	200000	gRNA.tab.gz.split	1.part17.tab.gz
1.part18	NA	200000	gRNA.tab.gz.split	1.part18.tab.gz
1.part19	NA	200000	gRNA.tab.gz.split	1.part19.tab.gz
1.part20	NA	200000	gRNA.tab.gz.split	1.part20.tab.gz
1.part21	NA	200000	gRNA.tab.gz.split	1.part21.tab.gz
1.part22	NA	200000	gRNA.tab.gz.split	1.part22.tab.gz
1.part23	NA	200000	gRNA.tab.gz.split	1.part23.tab.gz
1.part24	NA	200000	gRNA.tab.gz.split	1.part24.tab.gz
1.part25	NA	200000	gRNA.tab.gz.split	1.part25.tab.gz
1.part26	NA	200000	gRNA.tab.gz.split	1.part26.tab.gz
1.part27	NA	200000	gRNA.tab.gz.split	1.part27.tab.gz
1.part28	NA	200000	gRNA.tab.gz.split	1.part28.tab.gz
1.part29	NA	200000	gRNA.tab.gz.split	1.part29.tab.gz
1.part30	NA	200000	gRNA.tab.gz.split	1.part30.tab.gz
1.part31	NA	200000	gRNA.tab.gz.split	1.part31.tab.gz
1.part32	NA	200000	gRNA.tab.gz.split	1.part32.tab.gz
1.part33	NA	200000	gRNA.tab.gz.split	1.part33.tab.gz
1.part34	NA	200000	gRNA.tab.gz.split	1.part34.tab.gz
1.part35	NA	200000	gRNA.tab.gz.split	1.part35.tab.gz
1.part36	NA	200000	gRNA.tab.gz.split	1.part36.tab.gz
1.part37	NA	200000	gRNA.tab.gz.split	1.part37.tab.gz
1.part38	NA	200000	gRNA.tab.gz.split	1.part38.tab.gz
1.part39	NA	200000	gRNA.tab.gz.split	1.part39.tab.gz
1.part40	NA	200000	gRNA.tab.gz.split	1.part40.tab.gz
1.part41	NA	200000	gRNA.tab.gz.split	1.part41.tab.gz
1.part42	NA	200000	gRNA.tab.gz.split	1.part42.tab.gz
1.part43	NA	200000	gRNA.tab.gz.split	1.part43.tab.gz
1.part44	NA	200000	gRNA.tab.gz.split	1.part44.tab.gz
1.part45	NA	200000	gRNA.tab.gz.split	1.part45.tab.gz
1.part46	NA	200000	gRNA.tab.gz.split	1.part46.tab.gz
1.part47	NA	200000	gRNA.tab.gz.split	1.part47.tab.gz
1.part48	NA	200000	gRNA.tab.gz.split	1.part48.tab.gz
1.part49	NA	200000	gRNA.tab.gz.split	1.part49.tab.gz
1.part50	NA	200000	gRNA.tab.gz.split	1.part50.tab.gz
1.part51	NA	200000	gRNA.tab.gz.split	1.part51.tab.gz
1.part52	NA	200000	gRNA.tab.gz.split	1.part52.tab.gz
1.part53	NA	200000	gRNA.tab.gz.split	1.part53.tab.gz
1.part54	NA	200000	gRNA.tab.gz.split	1.part54.tab.gz
1.part55	NA	200000	gRNA.tab.gz.split	1.part55.tab.gz
1.part56	NA	200000	gRNA.tab.gz.split	1.part56.tab.gz
1.part57	NA	200000	gRNA.tab.gz.split	1.part57.tab.gz
1.part58	NA	200000	gRNA.tab.gz.split	1.part58.tab.gz
1.part59	NA	200000	gRNA.tab.gz.split	1.part59.tab.gz
1.part60	NA	200000	gRNA.tab.gz.split	1.part60.tab.gz
1.part61	NA	200000	gRNA.tab.gz.split	1.part61.tab.gz
1.part62	NA	200000	gRNA.tab.gz.split	1.part62.tab.gz
1.part63	NA	200000	gRNA.tab.gz.split	1.part63.tab.gz
1.part64	NA	200000	gRNA.tab.gz.split	1.part64.tab.gz
1.part65	NA	200000	gRNA.tab.gz.split	1.part65.tab.gz
1.part66	NA	200000	gRNA.tab.gz.split	1.part66.tab.gz
1.part67	NA	200000	gRNA.tab.gz.split	1.part67.tab.gz
1.part68	NA	200000	gRNA.tab.gz.split	1.part68.tab.gz
1.part69	NA	200000	gRNA.tab.gz.split	1.part69.tab.gz
1.part70	NA	200000	gRNA.tab.gz.split	1.part70.tab.gz
1.part71	NA	200000	gRNA.tab.gz.split	1.part71.tab.gz
1.part72	NA	200000	gRNA.tab.gz.split	1.part72.tab.gz
1.part73	NA	200000	gRNA.tab.gz.split	1.part73.tab.gz
1.part74	NA	200000	gRNA.tab.gz.split	1.part74.tab.gz
1.part75	NA	200000	gRNA.tab.gz.split	1.part75.tab.gz
1.part76	NA	200000	gRNA.tab.gz.split	1.part76.tab.gz
1.part77	NA	200000	gRNA.tab.gz.split	1.part77.tab.gz
1.part78	NA	200000	gRNA.tab.gz.split	1.part78.tab.gz
1.part79	NA	200000	gRNA.tab.gz.split	1.part79.tab.gz
1.part80	NA	200000	gRNA.tab.gz.split	1.part80.tab.gz
1.part81	NA	200000	gRNA.tab.gz.split	1.part81.tab.gz
1.part82	NA	200000	gRNA.tab.gz.split	1.part82.tab.gz
1.part83	NA	200000	gRNA.tab.gz.split	1.part83.tab.gz
1.part84	NA	200000	gRNA.tab.gz.split	1.part84.tab.gz
1.part85	NA	200000	gRNA.tab.gz.split	1.part85.tab.gz
1.part86	NA	200000	gRNA.tab.gz.split	1.part86.tab.gz
1.part87	NA	200000	gRNA.tab.gz.split	1.part87.tab.gz
1.part88	NA	200000	gRNA.tab.gz.split	1.part88.tab.gz
1.part89	NA	200000	gRNA.tab.gz.split	1.part89.tab.gz
1.part90	NA	200000	gRNA.tab.gz.split	1.part90.tab.gz
1.part91	NA	200000	gRNA.tab.gz.split	1.part91.tab.gz
1.part92	NA	200000	gRNA.tab.gz.split	1.part92.tab.gz
1.part93	NA	200000	gRNA.tab.gz.split	1.part93.tab.gz
1.part94	NA	200000	gRNA.tab.gz.split	1.part94.tab.gz
1.part95	NA	200000	gRNA.tab.gz.split	1.part95.tab.gz
1.part96	NA	200000	gRNA.tab.gz.split	1.part96.tab.gz
1.part97	NA	200000	gRNA.tab.gz.split	1.part97.tab.gz
1.part98	NA	200000	gRNA.tab.gz.split	1.part98.tab.gz
1.part99	NA	200000	gRNA.tab.gz.split	1.part99.tab.gz
1.part100	NA	200000	gRNA.tab.gz.split	1.part100.tab.gz
1.part101	NA	200000	gRNA.tab.gz.split	1.part101.tab.gz
1.part102	NA	200000	gRNA.tab.gz.split	1.part102.tab.gz
1.part103	NA	200000	gRNA.tab.gz.split	1.part103.tab.gz
1.part104	NA	200000	gRNA.tab.gz.split	1.part104.tab.gz
1.part105	NA	200000	gRNA.tab.gz.split	1.part105.tab.gz
1.part106	NA	200000	gRNA.tab.gz.split	1.part106.tab.gz
1.part107	NA	200000	gRNA.tab.gz.split	1.part107.tab.gz
1.part108	NA	200000	gRNA.tab.gz.split	1.part108.tab.gz
1.part109	NA	200000	gRNA.tab.gz.split	1.part109.tab.gz
1.part110	NA	200000	gRNA.tab.gz.split	1.part110.tab.gz
1.part111	NA	200000	gRNA.tab.gz.split	1.part111.tab.gz
1.part112	NA	200000	gRNA.tab.gz.split	1.part112.tab.gz
1.part113	NA	200000	gRNA.tab.gz.split	1.part113.tab.gz
1.part114	NA	200000	gRNA.tab.gz.split	1.part114.tab.gz
