gene_ID_or_name,ref,chr,Ensemble_transcript_strand,coordinate,type
ENSMUST00000082392,ensembl_GRCm39_latest,MT,1,2753,end_of_ATG
ENSMUST00000082392,ensembl_GRCm39_latest,MT,1,3705,start_of_STOP
ENSMUST00000082396,ensembl_GRCm39_latest,MT,1,3916,end_of_ATG
ENSMUST00000082396,ensembl_GRCm39_latest,MT,1,4949,start_of_STOP
ENSMUST00000082402,ensembl_GRCm39_latest,MT,1,5330,end_of_ATG
ENSMUST00000082402,ensembl_GRCm39_latest,MT,1,6870,start_of_STOP
ENSMUST00000082405,ensembl_GRCm39_latest,MT,1,7015,end_of_ATG
ENSMUST00000082405,ensembl_GRCm39_latest,MT,1,7694,start_of_STOP
ENSMUST00000082407,ensembl_GRCm39_latest,MT,1,7768,end_of_ATG
ENSMUST00000082407,ensembl_GRCm39_latest,MT,1,7967,start_of_STOP
ENSMUST00000082408,ensembl_GRCm39_latest,MT,1,7929,end_of_ATG
ENSMUST00000082408,ensembl_GRCm39_latest,MT,1,8605,start_of_STOP
ENSMUST00000082409,ensembl_GRCm39_latest,MT,1,8609,end_of_ATG
ENSMUST00000082409,ensembl_GRCm39_latest,MT,1,9388,start_of_STOP
ENSMUST00000082411,ensembl_GRCm39_latest,MT,1,9461,end_of_ATG
ENSMUST00000082411,ensembl_GRCm39_latest,MT,1,9804,start_of_STOP
ENSMUST00000084013,ensembl_GRCm39_latest,MT,1,9879,end_of_ATG
ENSMUST00000084013,ensembl_GRCm39_latest,MT,1,10171,start_of_STOP
ENSMUST00000082414,ensembl_GRCm39_latest,MT,1,10169,end_of_ATG
ENSMUST00000082414,ensembl_GRCm39_latest,MT,1,11542,start_of_STOP
ENSMUST00000082418,ensembl_GRCm39_latest,MT,1,11744,end_of_ATG
ENSMUST00000082418,ensembl_GRCm39_latest,MT,1,13563,start_of_STOP
ENSMUST00000082419,ensembl_GRCm39_latest,MT,-1,14068,end_of_ATG
ENSMUST00000082419,ensembl_GRCm39_latest,MT,-1,13554,start_of_STOP
ENSMUST00000082421,ensembl_GRCm39_latest,MT,1,14147,end_of_ATG
ENSMUST00000082421,ensembl_GRCm39_latest,MT,1,15286,start_of_STOP
ENSMUST00000178569,ensembl_GRCm39_latest,JH584303.1,1,81609,end_of_ATG
ENSMUST00000178569,ensembl_GRCm39_latest,JH584303.1,1,82687,start_of_STOP
ENSMUST00000177783,ensembl_GRCm39_latest,GL456219.1,-1,95086,end_of_ATG
ENSMUST00000177783,ensembl_GRCm39_latest,GL456219.1,-1,94188,start_of_STOP
ENSMUST00000110576,ensembl_GRCm39_latest,JH584297.1,-1,22246,end_of_ATG
ENSMUST00000110576,ensembl_GRCm39_latest,JH584297.1,-1,19742,start_of_STOP
ENSMUST00000179211,ensembl_GRCm39_latest,GL456211.1,-1,32394,end_of_ATG
ENSMUST00000179211,ensembl_GRCm39_latest,GL456211.1,-1,30485,start_of_STOP
ENSMUST00000179715,ensembl_GRCm39_latest,GL456212.1,-1,34930,end_of_ATG
ENSMUST00000179715,ensembl_GRCm39_latest,GL456212.1,-1,31969,start_of_STOP
ENSMUST00000096862,ensembl_GRCm39_latest,GL456210.1,-1,10026,end_of_ATG
ENSMUST00000096862,ensembl_GRCm39_latest,GL456210.1,-1,9659,start_of_STOP
